THUMB,INDEX,MIDDLE,RING,LITTLE,LABEL
662,739,707,961,964,1
662,739,707,961,964,1
662,739,707,961,964,1
662,739,707,961,964,1
662,739,707,961,964,1
662,739,707,961,964,1
662,739,707,961,964,1
662,739,707,961,964,1
662,739,707,961,964,1
662,739,705,961,964,1
662,739,706,961,964,1
662,739,705,961,964,1
662,739,705,961,964,1
662,739,706,961,964,1
662,739,706,961,964,1
662,739,706,961,964,1
662,739,706,961,964,1
662,739,707,961,964,1
662,738,707,961,964,1
662,738,707,961,964,1
662,738,707,961,964,1
662,738,707,961,964,1
662,738,707,961,964,1
662,738,706,961,964,1
662,738,707,961,964,1
662,738,707,961,964,1
662,738,706,961,964,1
662,738,707,961,964,1
662,738,707,961,964,1
662,738,706,961,964,1
662,737,704,961,964,1
662,738,705,961,964,1
662,738,705,961,964,1
662,738,706,961,964,1
662,738,706,961,964,1
662,738,707,961,964,1
662,738,707,961,964,1
662,738,704,961,964,1
662,738,704,961,964,1
661,738,704,961,964,1
661,738,703,961,964,1
662,738,704,961,964,1
661,738,702,961,964,1
661,738,704,961,964,1
662,738,704,961,964,1
662,738,703,961,964,1
662,738,704,961,964,1
662,738,704,961,964,1
662,738,704,961,964,1
662,737,702,961,964,1
662,738,705,961,964,1
661,737,706,961,964,1
662,738,706,961,964,1
662,737,707,961,964,1
662,737,706,961,964,1
662,738,705,961,964,1
662,738,705,961,963,1
662,737,705,961,964,1
662,737,705,961,963,1
662,737,705,961,964,1
662,737,706,961,963,1
662,737,705,960,963,1
662,737,705,960,963,1
662,737,705,961,963,1
662,737,705,961,963,1
662,738,705,961,963,1
662,737,705,961,964,1
662,737,705,961,964,1
663,737,704,961,963,1
662,737,706,960,963,1
662,737,705,960,963,1
662,737,704,960,963,1
662,737,705,960,963,1
662,737,705,960,963,1
662,737,705,960,963,1
662,737,705,960,963,1
662,737,706,961,963,1
662,737,707,961,963,1
662,737,706,960,963,1
662,738,706,961,963,1
662,738,706,961,963,1
662,738,705,961,963,1
662,737,706,960,963,1
662,737,705,961,963,1
662,738,705,961,963,1
662,738,706,961,963,1
662,738,705,961,963,1
662,738,705,961,963,1
662,738,706,961,963,1
662,738,706,961,963,1
662,738,707,961,963,1
662,738,704,961,964,1
662,738,704,961,964,1
662,737,704,961,963,1
661,737,704,961,964,1
662,738,704,961,963,1
662,737,704,961,964,1
662,737,704,960,964,1
662,737,703,961,964,1
662,737,704,961,964,1
662,737,705,961,964,1
662,737,704,960,963,1
662,737,705,961,963,1
662,737,705,960,963,1
662,737,704,961,963,1
662,737,704,960,963,1
662,737,704,961,963,1
662,737,704,961,963,1
662,737,705,961,963,1
662,737,705,960,963,1
662,737,705,960,963,1
662,737,704,960,963,1
662,737,704,960,963,1
662,737,704,961,963,1
662,737,704,961,963,1
662,737,704,960,963,1
662,737,704,960,963,1
662,737,704,960,963,1
662,737,704,961,963,1
662,737,704,960,963,1
662,737,704,960,963,1
662,738,705,960,963,1
662,737,705,960,963,1
662,737,704,960,963,1
662,737,705,961,963,1
662,737,704,960,963,1
662,737,704,960,963,1
662,737,704,960,963,1
662,737,704,960,963,1
662,737,703,960,963,1
662,737,705,960,963,1
662,737,704,960,963,1
662,737,704,960,963,1
662,737,704,960,963,1
662,737,704,960,963,1
662,738,704,960,963,1
662,737,704,960,963,1
662,738,705,960,963,1
662,737,704,960,963,1
662,738,704,960,963,1
662,737,704,960,963,1
662,738,704,960,963,1
662,737,705,960,963,1
662,738,705,960,963,1
662,738,705,960,963,1
662,737,705,960,963,1
662,737,704,960,963,1
662,738,704,960,963,1
662,738,704,960,963,1
662,738,704,960,964,1
662,737,697,960,964,1
661,737,697,961,964,1
662,737,700,960,964,1
662,737,701,960,964,1
661,737,702,960,964,1
661,737,706,960,964,1
661,738,704,960,964,1
661,737,701,960,964,1
661,737,702,960,964,1
661,737,702,960,964,1
661,737,702,960,964,1
661,737,702,960,964,1
661,737,698,960,964,1
661,737,690,960,964,1
660,737,678,960,963,1
660,737,681,960,963,1
661,737,688,960,963,1
661,738,691,960,963,1
660,737,694,960,963,1
661,737,696,960,963,1
660,737,701,960,963,1
661,737,709,960,963,1
662,737,716,960,963,1
662,737,714,960,963,1
662,737,710,960,963,1
662,737,708,960,963,1
662,738,707,960,963,1
662,737,707,960,963,1
662,738,706,960,963,1
662,738,706,960,963,1
662,738,705,960,963,1
662,738,705,960,963,1
662,738,705,960,963,1
662,738,704,960,963,1
661,738,704,960,963,1
662,738,704,960,963,1
661,738,704,960,963,1
662,738,704,960,963,1
661,738,704,960,963,1
661,738,704,960,963,1
661,738,704,960,963,1
661,738,704,960,963,1
661,738,704,960,963,1
661,738,704,960,963,1
661,738,704,960,963,1
661,738,704,960,963,1
661,738,704,960,963,1
661,738,704,960,963,1
661,738,704,960,963,1
661,737,703,960,963,1
661,737,703,960,963,1
661,737,703,960,963,1
661,737,702,960,964,1
661,737,700,960,964,1
661,737,701,960,963,1
661,738,702,960,964,1
661,737,702,960,964,1
661,738,702,960,963,1
661,738,704,960,963,1
661,738,705,960,963,1
661,738,705,960,963,1
661,738,704,960,963,1
661,739,705,960,963,1
661,739,708,960,963,1
661,739,707,960,963,1
661,739,704,960,963,1
661,739,704,960,963,1
661,739,704,960,963,1
661,739,703,960,963,1
660,739,703,960,963,1
661,739,704,960,963,1
660,739,704,960,963,1
661,739,704,960,963,1
661,739,704,960,963,1
661,739,704,961,963,1
660,739,705,961,963,1
655,798,741,978,975,2
655,798,744,978,976,2
